ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20747,HV622375,12/31/2012 12:16:00 AM,033XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1731,017,31,16,01A,1147827,1921692,2012,03/18/2019 04:08:09 PM,41.941077091,-87.732088554,"(41.941077091, -87.732088554)"
20748,HV620483,12/31/2012 04:49:00 PM,042XX W 21ST PL,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1012,010,24,29,01A,1148435,1889419,2012,03/19/2019 04:11:22 PM,41.85250485,-87.73068709,"(41.85250485, -87.73068709)"
20749,HW100288,01/01/2013 03:45:00 AM,007XX N NOBLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1215,012,27,24,01A,1166930,1904875,2013,03/19/2019 04:11:22 PM,41.894541113,-87.662361421,"(41.894541113, -87.662361421)"
20750,HW100867,01/01/2013 02:45:00 PM,045XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,true,false,0221,002,4,38,01A,1181468,1875029,2013,03/19/2019 04:11:22 PM,41.812317533,-87.609891755,"(41.812317533, -87.609891755)"
20751,HW101015,01/01/2013 04:56:00 PM,058XX S SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0824,008,14,63,01A,1157377,1865810,2013,03/18/2019 04:08:09 PM,41.787541886,-87.698507299,"(41.787541886, -87.698507299)"
20752,HW101960,01/02/2013 03:15:00 PM,124XX S UNION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0523,005,34,53,01A,1173906,1822480,2013,03/18/2019 04:08:09 PM,41.668287557,-87.639183666,"(41.668287557, -87.639183666)"
20753,HW102156,01/02/2013 06:45:00 PM,056XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE/AUTO REPAIR,false,false,0824,008,16,63,01A,1161333,1867145,2013,03/19/2019 04:11:22 PM,41.791124233,-87.683965265,"(41.791124233, -87.683965265)"
20754,HW105394,01/05/2013 08:06:00 AM,015XX N TALMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1423,014,26,24,01A,1158470,1910038,2013,03/18/2019 04:08:09 PM,41.908886162,-87.693291067,"(41.908886162, -87.693291067)"
20755,HW105881,01/05/2013 03:52:00 PM,055XX S LOOMIS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0713,007,16,67,01A,1167943,1867949,2013,03/18/2019 04:08:09 PM,41.793190941,-87.659704705,"(41.793190941, -87.659704705)"
20756,HW100786,01/05/2013 08:33:00 PM,087XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2221,022,21,71,01A,1165541,1846641,2013,03/19/2019 04:11:22 PM,41.734770191,-87.669115954,"(41.734770191, -87.669115954)"
20757,HW106139,01/05/2013 07:26:00 PM,083XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0423,004,7,46,01A,1194622,1850112,2013,03/18/2019 04:08:09 PM,41.743629649,-87.562463183,"(41.743629649, -87.562463183)"
20758,HW106184,01/06/2013 11:15:00 AM,048XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,015,24,25,01A,1144397,1897908,2013,03/19/2019 04:11:22 PM,41.875876568,-87.745294518,"(41.875876568, -87.745294518)"
20759,HW107214,01/06/2013 08:00:00 PM,084XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,6,44,01A,1180387,1849100,2013,03/18/2019 04:08:09 PM,41.741190698,-87.614651636,"(41.741190698, -87.614651636)"
20761,HW108847,01/08/2013 06:35:00 AM,040XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,1115,011,28,26,01A,1149502,1899030,2013,03/18/2019 04:08:09 PM,41.878857958,-87.726521499,"(41.878857958, -87.726521499)"
20762,HW109671,01/08/2013 07:05:00 PM,013XX N SEDGWICK ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1821,018,27,8,01A,1173401,1909427,2013,03/19/2019 04:11:22 PM,41.906890723,-87.638460098,"(41.906890723, -87.638460098)"
