# x1,x2
-8.756854339299999879e+01,4.174353306599999769e+01
-8.757819706600000131e+01,4.173992778199999520e+01
-8.760786250700000721e+01,4.175936745900000346e+01
-8.765909345799998675e+01,4.186580893900000433e+01
-8.758574531899999727e+01,4.174117091499999788e+01
-8.771055902299998763e+01,4.189551514000000054e+01
-8.760392204000000049e+01,4.181083629199999763e+01
-8.771779213299998901e+01,4.186403370200000040e+01
-8.764186820299998715e+01,4.176107279499999692e+01
-8.767295060799999362e+01,4.177208466199999748e+01
-8.753890582100000017e+01,4.169631367000000211e+01
-8.764772580999999718e+01,4.170797525800000471e+01
-8.772447783900000218e+01,4.184153346400000117e+01
-8.770279155000000060e+01,4.185134520300000105e+01
-8.771305646899999431e+01,4.193196108300000446e+01
-8.767263239999999769e+01,4.177665757300000138e+01
-8.776090654200000074e+01,4.195325503800000178e+01
-8.757829931999999928e+01,4.176622433000000001e+01
-8.767072177100000374e+01,4.202080954099999843e+01
-8.767234458899999083e+01,4.202117838499999891e+01
-8.772076449399999376e+01,4.188108865499999922e+01
-8.766344484100000045e+01,4.177948587699999905e+01
-8.761132510200000922e+01,4.173198464000000030e+01
-8.770470821100001046e+01,4.174545095900000291e+01
-8.760738495200000386e+01,4.180951902400000364e+01
-8.759615608999999381e+01,4.165580455900000345e+01
-8.777331652200000178e+01,4.192482571499999722e+01
-8.774933627700001182e+01,4.181019668100000075e+01
-8.760973785400000224e+01,4.175849836500000123e+01
-8.761223926600000311e+01,4.169576809800000206e+01
-8.765067322400000194e+01,4.172777112600000038e+01
-8.766553260599999930e+01,4.182242410000000632e+01
-8.762347293000000548e+01,4.177197072799999944e+01
-8.768562433499999997e+01,4.189940025900000364e+01
-8.765768694899999502e+01,4.185922269800000350e+01
-8.773711423899999318e+01,4.189516486600000178e+01
-8.762478122899999278e+01,4.179432279999999622e+01
-8.774379946299998778e+01,4.187594299799999931e+01
-8.777370683399999507e+01,4.190202302099999798e+01
-8.772179266499999528e+01,4.187531474499999717e+01
-8.773598653100000888e+01,4.185968956600000013e+01
-8.767417826100000866e+01,4.178966890699999936e+01
-8.767417049399999485e+01,4.178935326900000291e+01
-8.776966460900000300e+01,4.189843848000000293e+01
-8.765856669000000068e+01,4.174958288500000236e+01
-8.776503486000000009e+01,4.190938713100000257e+01
-8.763279688700001202e+01,4.172160407999999876e+01
-8.769954576499999632e+01,4.187376162700000037e+01
-8.771208024499999567e+01,4.187270771800000091e+01
-8.766346069200000102e+01,4.175118126599999613e+01
-8.761950382599999898e+01,4.169378264800000267e+01
-8.771234177600000237e+01,4.187831014700000054e+01
